Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,LM-Shop,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen-Dup,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results,LM-Shop_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen-Dup_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
"9,17-Octadecadienal, (Z)-",38.140,37336,,846,,38.297,611944,,126897,,38.338,1944573,,301604,,38.343,1206341,,367141,,38.361,2315593,,644245,,38.358,1701716,,643291,,38.185,16290,,1358,,38.257,30370,,5945,,38.722,487621,,1647,,38.251,83246,,17923,
Octadecanoic acid,38.652,31475,,16077,13224,38.890,31151311,,19257597,17705003,38.924,33373689,,,,38.997,58927060,,27705901,34540872,38.866,20344771,,12394434,11512192,38.866,20554752,,12745538,11437532,38.680,917248,,389698,496995,38.721,3633070,,1643214,2025176,38.722,4206798,,1842075,2304097,38.681,992617,,441831,534028
Dipentyl phthalate (DPP),38.747,946721,,10297,4996,38.697,94599,,344,1141,38.870,90926,,7458,9333,38.858,124272,,2722,8005,38.839,38614,,1733,412,38.852,45495,,565,1407,38.564,2794,,55,318,38.921,5317,,45,,38.786,942,,,,38.909,2635,,,14
Docosane (n-C22),39.089,65300,,110550,,39.110,447977,,786558,,39.114,483059,,920163,,39.115,723000,,1297172,,39.110,926036,,1589062,,39.113,750600,,1720623,,39.090,26656,,43836,,39.097,48432,,80287,,39.091,53947,,92140,,39.092,74517,,131841,
Pyrene,39.326,406785,,37862,,39.330,314572,,26180,,39.337,45707,,,,39.336,50955,,257268,,39.340,23224,,3774,,39.340,22111,,4817,,39.327,21331,,2652,,39.334,5128,,10558,,39.328,5033,,11645,,39.339,3135,,208,
"Phenol, 4,4'-(1-methylethylidene)bis-",39.855,6812,,,55,39.679,9794681,,1681380,547097,39.680,1675827,,280245,86562,39.678,814582,,305787,89519,39.730,658085,,110155,32245,39.730,555024,,76554,27253,39.669,492187,,86089,26456,39.683,80644,,13204,4811,39.681,88650,,14061,3801,39.688,35114,,4888,1662
"p,p'-DDE",39.879,256279,,125210,,39.883,1978,,928,,39.893,6302,,3430,,39.905,6824,,3455,,39.889,1669,,776,,39.889,1943,,863,,39.917,14,,11,,39.890,574,,297,,39.860,559,,371,,39.895,148,,42,
d14-Terphenyl (IS),40.190,1151295,,80211,,40.198,3857745,,246573,,40.202,2830427,,183032,,40.205,3468564,,224414,,40.198,3687697,,230448,,40.201,3678252,,232590,,40.188,238274,,18261,,40.198,220252,,16989,,40.192,281321,,22388,,40.190,309062,,24448,
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.594,139241,,138863,72399,40.211,707,,3723,11,40.198,669,,3378,17,40.207,797,,4145,19,40.943,56,,,48,40.598,45,,,13,40.632,16,,,2,40.602,13,,16,6,40.924,6,,,7,40.610,6,,,7
Tricosane (n-C23),40.851,1367,,2465,4852,40.869,565854,,951796,1636065,40.869,765793,,1403444,2341815,40.874,798512,,1453658,2543083,40.875,911714,,1217218,1672573,40.876,824413,,1321095,1975591,40.950,16797,,21942,32974,40.849,64020,,105299,175502,40.853,78912,,115760,197760,40.942,41921,,43113,69856
